id,restaurant_name,rating,number_of_ratings,delivery_fee,full_address,lat,lng,prague_municipal_district,url
49,big-pizza-ii,83.0,201,0 Kč,"Seifertova 49, Praha 3 13000",50.0851513,14.4453658,3,https://www.damejidlo.cz/big-pizza-ii
50,bistrawveg-cernymost,-1.0,0,49 Kč,"Chlumecká 765/6, Praha 9 19800",50.108793,14.5832921,9,https://www.damejidlo.cz/bistrawveg-cernymost
51,bistrawveg-praha-chodov,-1.0,0,49 Kč (zdarma od 700 Kč),"Roztylská 2321/19 - OC Chodov, Praha 148 00",50.0319171,14.4905253,148,https://www.damejidlo.cz/bistrawveg-praha-chodov
52,bistro-apetit-quick,-1.0,0,29 Kč (zdarma od 1 000 Kč),"Sokolovská 105/76, Praha 8 18600",50.0934829,14.4495996,8,https://www.damejidlo.cz/bistro-apetit-quick
53,bistro-bartga,91.0,216,zdarma až 29 Kč (zdarma od 390 Kč),"Siemensova 2716/2, Praha 15500",50.0480356,14.3059722,15500,https://www.damejidlo.cz/bistro-bartga
54,de-lyna-2,,,,,,,,https://www.damejidlo.cz/de-lyna-2
55,bistro-grill-farma-jonas,77.0,18,zdarma,"Šlikova 293/27, Praha 6 16900",50.0834977,14.3764851,6,https://www.damejidlo.cz/bistro-grill-farma-jonas
56,bistro-happy-vikend,85.0,215,69 Kč,"Ruská 777/152, Praha 10 11000",50.0737145,14.4765137,10,https://www.damejidlo.cz/bistro-happy-vikend
57,bistro-happy-ruska,86.0,85,49 Kč,"Ruská 777/152, Praha 10000",50.0737145,14.4765137,10000,https://www.damejidlo.cz/bistro-happy-ruska
58,bistro-pho-viet,77.0,35,29 Kč,"U Plynárny 757/6, Praha 4 14000",50.05492539999999,14.4543153,4,https://www.damejidlo.cz/bistro-pho-viet
59,bistro-valecek,92.0,10,29 Kč (zdarma od 700 Kč),"Jaselská 246/20, Praha 6 16000",50.099138,14.4026975,6,https://www.damejidlo.cz/bistro-valecek
60,bistro-zastav-se,-1.0,0,29 Kč (zdarma od 700 Kč),"Koněvova 61, Praha 3 13000",50.0890412,14.4610831,3,https://www.damejidlo.cz/bistro-zastav-se
61,blackberry-cafe-restaurant,82.0,143,59 Kč,"Michelská 31, Praha 4 - Michle 14000",50.05175879999999,14.4551052,4,https://www.damejidlo.cz/blackberry-cafe-restaurant
62,bohemia-bagel-lazenska,-1.0,0,29 Kč (zdarma od 600 Kč),"Lázeňská 19, Praha 11000",50.0871933,14.4060011,11000,https://www.damejidlo.cz/bohemia-bagel-lazenska
63,bon-bon-karlova,-1.0,0,29 Kč (zdarma od 600 Kč),"Karlova 48, Praha 1 11000",50.08640519999999,14.4192576,1,https://www.damejidlo.cz/bon-bon-karlova
64,borsalino-gold-club,70.0,421,0 Kč,"Štěpánská 540/7, Praha - Nové Město 12000",50.0764123,14.4242274,,https://www.damejidlo.cz/borsalino-gold-club
65,borsalino-party-service,-1.0,0,139 Kč,"Palackého 717/11, Praha - Nové Město 11000",50.0810565,14.4236969,,https://www.damejidlo.cz/borsalino-party-service
66,borsalino-premium,67.0,62,0 Kč,"Palackého 717/11, Praha - Nové Město 11000",50.0810565,14.4236969,,https://www.damejidlo.cz/borsalino-premium
67,brambor-king,100.0,5,29 Kč (zdarma od 700 Kč),"U Slavie 1527, Praha 10 10000",50.0677682,14.4680777,10,https://www.damejidlo.cz/brambor-king
68,branicka-tankovna,77.0,23,29 Kč,"U Staré Pošty 8/1, Praha 4 14700",50.03612409999999,14.4129044,4,https://www.damejidlo.cz/branicka-tankovna
69,branicke-lahudkarstvi,-1.0,0,29 Kč,"Branická 75, Praha 4 14700",50.0351925,14.4149878,4,https://www.damejidlo.cz/branicke-lahudkarstvi
70,balls-brixton,93.0,18,19 Kč (zdarma od 700 Kč),"Korunní 783/23, Praha 2 12000",50.0754573,14.4417492,2,https://www.damejidlo.cz/balls-brixton
71,bstreet-bistro,90.0,8,29 Kč (zdarma od 700 Kč),"Bozděchova 5, Praha 5 15000",50.0703187,14.4042156,5,https://www.damejidlo.cz/bstreet-bistro
72,bubbleology-atrium-flora,-1.0,0,29 Kč (zdarma od 700 Kč),"Vinohradská 2828/151, Praha 3 13000",50.0781362,14.4614033,3,https://www.damejidlo.cz/bubbleology-atrium-flora
73,bubbleology-ccm,-1.0,0,49 Kč,"Chlumecká 765/6, Praha 19000",50.108793,14.5832921,19000,https://www.damejidlo.cz/bubbleology-ccm
74,bubbleology-centrum-chodov,-1.0,0,29 Kč (zdarma od 700 Kč),"Roztylská 2321/19, Praha 4 14000",50.0320692,14.4909962,4,https://www.damejidlo.cz/bubbleology-centrum-chodov
75,bubbleology-novodvorska-plaza,-1.0,0,,"Novodvorská 136, Praha 4 14000",50.0267644,14.4329116,4,https://www.damejidlo.cz/bubbleology-novodvorska-plaza
76,bubbleology-oc-novy-smichov,-1.0,0,29 Kč (zdarma od 700 Kč),"Plzeňská 8, Praha 5 15000",50.0729376,14.4023466,5,https://www.damejidlo.cz/bubbleology-oc-novy-smichov
77,buf-an,-1.0,0,49 Kč,"Thákurova 18a, Praha 6 16000",50.1030501,14.3887834,6,https://www.damejidlo.cz/buf-an
78,burger-de-soto-ii,92.0,281,59 Kč,"Nuselská 78, Praha 4 14000",50.0592352,14.4495577,4,https://www.damejidlo.cz/burger-de-soto-ii
79,burger-fresh,56.0,12,zdarma,"Kodaňská 57, Praha 10 10100",50.0708965,14.4594737,10,https://www.damejidlo.cz/burger-fresh
80,burger-fresh-zabehlicka,60.0,15,zdarma,"Záběhlická 131/33, Praha 10 - Záběhlice 10000",50.0559258,14.4815921,10,https://www.damejidlo.cz/burger-fresh-zabehlicka
81,burger-joy,80.0,14,0 Kč,"Náměstí bratří Synků 7, Praha 4 14000",50.0638875,14.4413361,4,https://www.damejidlo.cz/burger-joy
82,burger-king-28-rijna,88.0,24,29 Kč (zdarma od 2 000 Kč),"28. října 767/12, Praha 1 11000",50.0835769,14.4227079,1,https://www.damejidlo.cz/burger-king-28-rijna
83,burger-king-harfa,86.0,96,29 Kč (zdarma od 2 000 Kč),"Českomoravská 2420/15A, Praha 9 19093",50.10382449999999,14.4912498,9,https://www.damejidlo.cz/burger-king-harfa
84,burger-king-letnany,77.0,16,29 Kč,"Veselská 663, Praha 18 19900",50.1369822,14.5010413,18,https://www.damejidlo.cz/burger-king-letnany
85,burger-king-zlicin,86.0,27,29 Kč (zdarma od 2 000 Kč),"Řevnická 1, Praha 5 15000",50.053295,14.2875481,5,https://www.damejidlo.cz/burger-king-zlicin
86,burger-online,94.0,22,49 Kč (zdarma od 700 Kč),"Petržílkova 2583/13, Praha 13 15800",50.0508856,14.3454717,13,https://www.damejidlo.cz/burger-online
87,burger-evropska2,94.0,14,zdarma až 49 Kč,"Evropská 157a/46, Praha 6 16200",50.0927934,14.3297724,6,https://www.damejidlo.cz/burger-evropska2
88,cafe-wine-old-star,88.0,34,79 Kč,"Sarajevská 1690/25, Praha 2 12000",50.0673937,14.4350263,2,https://www.damejidlo.cz/cafe-wine-old-star
89,save-time,77.0,28,59 Kč až 149 Kč,"U Berounky 420, Praha - Lipence 15000",49.952196,14.336779,,https://www.damejidlo.cz/save-time
90,burrito-loco-praha-6,84.0,53,29 Kč (zdarma od 1 000 Kč),"Dejvická 6, Praha 6 16000",50.0980932,14.4038802,6,https://www.damejidlo.cz/burrito-loco-praha-6
91,burrito-loco-seifertova,74.0,20,29 Kč (zdarma od 700 Kč),"Seifertova 50, Praha 3 13000",50.08398709999999,14.4531019,3,https://www.damejidlo.cz/burrito-loco-seifertova
92,burrito-loco-sokolovska,93.0,6,49 Kč (zdarma od 700 Kč),"Sokolovská 79/81, Praha 8 18000",50.09392,14.4501096,8,https://www.damejidlo.cz/burrito-loco-sokolovska
93,burrito-loco-vitezna,91.0,63,29 Kč (zdarma od 700 Kč),"Vítězná 15, Praha 5 15000",50.08118169999999,14.4045968,5,https://www.damejidlo.cz/burrito-loco-vitezna
94,burrito-loco,77.0,30,29 Kč (zdarma od 700 Kč),"Masná 2, Praha 1 11000",50.0892133,14.423253,1,https://www.damejidlo.cz/burrito-loco
95,burrito-loco-holesovice,90.0,42,29 Kč (zdarma od 700 Kč),"Milady Horákové 831/3, Praha 7 17000",50.09886470000001,14.4326205,7,https://www.damejidlo.cz/burrito-loco-holesovice
96,burrito-loco-spalena,83.0,51,29 Kč (zdarma od 700 Kč),"Spálená 43, Praha 1 11000",50.0812439,14.4194122,1,https://www.damejidlo.cz/burrito-loco-spalena
97,burrito-loco-andel,87.0,42,29 Kč (zdarma od 700 Kč),"Štefánikova 7, Praha 5 15000",50.0726719,14.4036108,5,https://www.damejidlo.cz/burrito-loco-andel
98,burrito-loco-vinohradska,78.0,60,29 Kč (zdarma od 700 Kč),"Vinohradská 60, Praha 3 13000",50.0770111,14.4497764,3,https://www.damejidlo.cz/burrito-loco-vinohradska
99,by-kebab,-1.0,0,49 Kč,"Plukovníka Mráze 1182/24, Praha 15 10200",50.0503149,14.543992,15,https://www.damejidlo.cz/by-kebab
100,c-p-vietnamska-thajska-restaurace,88.0,30,29 Kč (zdarma od 700 Kč),"Novákových 894/9, Praha 8 18000",50.1033772,14.4748221,8,https://www.damejidlo.cz/c-p-vietnamska-thajska-restaurace
101,c-t-pho-viet,67.0,17,29 Kč (zdarma od 1 000 Kč),"Karlovo nám. 317/5, Praha 2 12000",50.0742913,14.4183589,2,https://www.damejidlo.cz/c-t-pho-viet
102,cacao,93.0,23,29 Kč (zdarma od 1 000 Kč),"V CELNICI 1031/4, Praha 1 11000",50.0878856,14.4300736,1,https://www.damejidlo.cz/cacao
103,cafe-bambus-praha,-1.0,0,59 Kč (zdarma od 800 Kč),"Benediktská 12, Praha 1 11000",50.09025339999999,14.4273949,1,https://www.damejidlo.cz/cafe-bambus-praha
104,fusion-sushi,88.0,208,69 Kč,"Balbínova 19, Praha 2 12000",50.0785535,14.4350496,2,https://www.damejidlo.cz/fusion-sushi
105,cafe-buddha-norska,90.0,187,69 Kč,"Norská 14, Praha 10 10000",50.0718974,14.4555555,10,https://www.damejidlo.cz/cafe-buddha-norska
106,cafe-ng-kinsky,-1.0,0,29 Kč (zdarma od 700 Kč),"Staroměstské náměstí 606/11, Praha 1 11000",50.0875692,14.4211875,1,https://www.damejidlo.cz/cafe-ng-kinsky
