id,restaurant_name,rating,number_of_ratings,delivery_fee,full_address,lat,lng,prague_municipal_district,url
157,escobaras-praha,70.0,8,49 Kč,"Kladenská 7, Praha 160 00",50.0979075,14.3669626,160,https://www.damejidlo.cz/escobaras-praha
158,etnosvet,,,,,,,,https://www.damejidlo.cz/etnosvet
159,famagusta,-1.0,0,29 Kč (zdarma od 600 Kč),"Vyšehradská 1446/53, Praha 2 12800",50.0733484,14.4182655,2,https://www.damejidlo.cz/famagusta
160,fastfood-u-pilota,-1.0,0,49 Kč,"U Prioru 938/6, Praha 6 16000",50.0878307,14.3156852,6,https://www.damejidlo.cz/fastfood-u-pilota
161,fastfood-koh-i-noor,-1.0,0,49 Kč,"Vršovická 51, Praha 10 10000",50.069457,14.4700117,10,https://www.damejidlo.cz/fastfood-koh-i-noor
162,restaurace-sofia,-1.0,0,49 Kč,"Na Průhonu 242/41, Praha 8 18000",50.13850189999999,14.4360029,8,https://www.damejidlo.cz/restaurace-sofia
163,fiasko-burger-andel,90.0,448,59 Kč,"Stroupežnického 9, Praha 15000",50.0697456,14.4030764,15000,https://www.damejidlo.cz/fiasko-burger-andel
164,fiesta-mexicka-restaurace-1,91.0,18,29 Kč (zdarma od 1 000 Kč),"Václavkova 176/2, Praha 6 16000",50.0976648,14.4008986,6,https://www.damejidlo.cz/fiesta-mexicka-restaurace-1
165,fili-restaurant,-1.0,0,29 Kč (zdarma od 1 000 Kč),"Ve Smečkách 22, Praha 1 11000",50.0789741,14.4273085,1,https://www.damejidlo.cz/fili-restaurant
166,fine-bistro,86.0,40,19 Kč až 99 Kč,"Žukovského 888/2, Praha - Ruzyně 16100",50.0903033,14.3095116,,https://www.damejidlo.cz/fine-bistro
167,fitness-restaurace,,,,,,,,https://www.damejidlo.cz/fitness-restaurace
168,flavours-wine-and-deli,-1.0,0,19 Kč (zdarma od 500 Kč),"Záhřebská 29, Praha 2 12000",50.0726796,14.4384443,2,https://www.damejidlo.cz/flavours-wine-and-deli
169,fofr-pizza-ii,62.0,16,zdarma až 69 Kč,"Koněvova 148, Praha 3 13000",50.0912738,14.4742536,3,https://www.damejidlo.cz/fofr-pizza-ii
170,food-house-by-fitness-menu,-1.0,0,29 Kč (zdarma od 700 Kč),"Na Strži 1721/63, Praha 14000",50.04995049999999,14.4390808,14000,https://www.damejidlo.cz/food-house-by-fitness-menu
171,jidlo-lasky-praha,90.0,53,39 Kč,"Nerudova 32, Praha 1 11800",50.0884899,14.3984885,1,https://www.damejidlo.cz/jidlo-lasky-praha
172,fraktal,65.0,7,49 Kč (zdarma od 1 000 Kč),"Šmeralova 1, Praha 7 17000",50.10027220000001,14.4225082,7,https://www.damejidlo.cz/fraktal
173,fraskys-bistrot,,,,,,,,https://www.damejidlo.cz/fraskys-bistrot
174,fresco-vento-1,-1.0,0,29 Kč (zdarma od 700 Kč),"Rašínovo Nábřeží 62, Praha 12000",50.0734854,14.4141354,12000,https://www.damejidlo.cz/fresco-vento-1
175,o-papa-cerny-most,,,,,,,,https://www.damejidlo.cz/o-papa-cerny-most
176,o-papa-revolucni,,,,,,,,https://www.damejidlo.cz/o-papa-revolucni
177,fresh-point-pizza,82.0,35,29 Kč,"Terronská 52, Praha 6 16000",50.108424,14.3958149,6,https://www.damejidlo.cz/fresh-point-pizza
178,frutiko-cz-ovocne-kytice,-1.0,0,169 Kč,"Mezi vodami 1955/19, Praha 12 14300",50.0093732,14.4017136,12,https://www.damejidlo.cz/frutiko-cz-ovocne-kytice
179,fuji,-1.0,0,49 Kč (zdarma od 500 Kč),"Švehlova 1391/32, Praha 10 - Hostivař 10200",50.0532812,14.5171881,10,https://www.damejidlo.cz/fuji
180,gamberorosso,-1.0,0,29 Kč (zdarma od 700 Kč),"Jakubská 744/4, Praha 1 11000",50.0880419,14.4250891,1,https://www.damejidlo.cz/gamberorosso
181,gangster-burger,93.0,410,59 Kč,"Pechlátova 104/25, Praha 5 15000",50.0588971,14.3941069,5,https://www.damejidlo.cz/gangster-burger
182,gangsterburger,91.0,208,59 Kč,"Novákových 32, Praha 8 18000",50.10440029999999,14.4787182,8,https://www.damejidlo.cz/gangsterburger
183,gao-restaurant,77.0,16,29 Kč (zdarma od 700 Kč),"Václavské nám. 799/48, Praha 11000",50.0807314,14.4276324,11000,https://www.damejidlo.cz/gao-restaurant
184,gastronom-original-gambrinus-restaurant-i,82.0,18,49 Kč (zdarma od 1 000 Kč),"Petržílkova 2583/13, Praha 13 15800",50.0508856,14.3454717,13,https://www.damejidlo.cz/gastronom-original-gambrinus-restaurant-i
185,giallorossa,73.0,26,50 Kč (zdarma od 400 Kč),"Jakubská 2, Praha 1 11000",50.08814049999999,14.4245608,1,https://www.damejidlo.cz/giallorossa
186,giallorossa-vinohradska,87.0,146,55 Kč,"Vinohradská 66, Praha 3 13000",50.0770829,14.4507525,3,https://www.damejidlo.cz/giallorossa-vinohradska
187,gidos-pizza,91.0,702,zdarma,"NÁMĚSTÍ NA STRÁŽI 520/2, Praha 8 18000",50.1164843,14.4688709,8,https://www.damejidlo.cz/gidos-pizza
188,glutarna-praha6,-1.0,0,49 Kč,"Rozvojová 269, Praha 6 16000",50.1278978,14.3825636,6,https://www.damejidlo.cz/glutarna-praha6
189,golden-pacific-restaurant,-1.0,0,59 Kč (zdarma od 700 Kč),"Radlická 117, Praha 5 15800",50.0476058,14.3537456,5,https://www.damejidlo.cz/golden-pacific-restaurant
190,golden-pacifik-cukrarna,100.0,5,59 Kč (zdarma od 700 Kč),"Radlická 117, Praha 5 15800",50.0476058,14.3537456,5,https://www.damejidlo.cz/golden-pacifik-cukrarna
191,golden-tikka-praha,-1.0,0,29 Kč (zdarma od 700 Kč),"Kateřinská 42, Praha 2 12000",50.075191,14.4284305,2,https://www.damejidlo.cz/golden-tikka-praha
192,gourmet-deli-bar,-1.0,0,29 Kč (zdarma od 700 Kč),"Celetná 988/38, Praha 1 11000",50.0871162,14.4265374,1,https://www.damejidlo.cz/gourmet-deli-bar
193,gourmet-house,87.0,34,29 Kč (zdarma od 700 Kč),"Bucharova 2817/9, Praha 15800",50.05131799999999,14.350458,15800,https://www.damejidlo.cz/gourmet-house
194,gourmet-hous,-1.0,0,zdarma až 29 Kč,"Bucharova 2817/9, Praha 15800",50.05131799999999,14.350458,15800,https://www.damejidlo.cz/gourmet-hous
195,govinda-delicious,97.0,18,29 Kč (zdarma od 700 Kč),"Na Hrázi 216/5, Praha 8 18000",50.1052847,14.4737641,8,https://www.damejidlo.cz/govinda-delicious
196,grand-rasoi-indian-thai-restaurant,-1.0,0,49 Kč (zdarma od 700 Kč),"Slezská 1668/56, Praha 2 12000",50.0761204,14.4465896,2,https://www.damejidlo.cz/grand-rasoi-indian-thai-restaurant
197,green-day-salads,-1.0,0,29 Kč,"Jindřišská 24/941, Praha 1 11000",50.0843836,14.4291808,1,https://www.damejidlo.cz/green-day-salads
198,green-garden-restaurant,66.0,6,29 Kč (zdarma od 700 Kč),"Fügnerovo náměstí 1865/4, Praha 2 12000",50.0715854,14.4302933,2,https://www.damejidlo.cz/green-garden-restaurant
199,grill-sushi-bar,-1.0,0,29 Kč (zdarma od 700 Kč),"Lodžská 850/6 (OC Krakov), Praha 8 18100",50.1276854,14.418456,8,https://www.damejidlo.cz/grill-sushi-bar
200,grill-king,-1.0,0,29 Kč,"Na Bělidle 27, Praha 15000",50.0715459,14.4057071,15000,https://www.damejidlo.cz/grill-king
201,grilled-fried,-1.0,0,29 Kč (zdarma od 700 Kč),"Koněvova 100, Praha 3 13000",50.0896772,14.4656641,3,https://www.damejidlo.cz/grilled-fried
202,grosseto-brumlovka-ii,,,,,,,,https://www.damejidlo.cz/grosseto-brumlovka-ii
203,grosseto-dejvice-ii,88.0,63,29 Kč (zdarma od 2 000 Kč),"Jugoslávských partyzánů 8, Praha 6 16000",50.1032437,14.3955144,6,https://www.damejidlo.cz/grosseto-dejvice-ii
204,gusto-pizza-kebab-1,80.0,124,0 Kč,"Čestmírova 363/1, Praha 4 14000",50.064263,14.4415996,4,https://www.damejidlo.cz/gusto-pizza-kebab-1
205,gusto-veneto,-1.0,0,29 Kč (zdarma od 700 Kč),"Varšavská 715/36, Praha 2 12000",50.0734189,14.4385547,2,https://www.damejidlo.cz/gusto-veneto
206,habanero-mexican-grill,87.0,85,29 Kč až 39 Kč (zdarma od 300 Kč),"Roztylská 2321/19, Praha 4 14000",50.0320692,14.4909962,4,https://www.damejidlo.cz/habanero-mexican-grill
207,hallo-pizza-praha-10,77.0,32,zdarma,"Topolova 16, Praha 10 10000",50.0569538,14.5076384,10,https://www.damejidlo.cz/hallo-pizza-praha-10
208,happy-bean-bistro,93.0,13,29 Kč (zdarma od 700 Kč),"Laubova 1659/2, Praha - Vinohrady 13000",50.0786969,14.4504786,,https://www.damejidlo.cz/happy-bean-bistro
209,happy-restaurant,75.0,18,29 Kč (zdarma od 700 Kč),"Miškovická 235/12, Praha 19000",50.1230631,14.503361,19000,https://www.damejidlo.cz/happy-restaurant
210,havana-grill,-1.0,0,29 Kč (zdarma od 600 Kč),"Rumunská 34, Praha 2 12000",50.0742571,14.4349806,2,https://www.damejidlo.cz/havana-grill
211,havana-w,-1.0,0,59 Kč (zdarma od 1 000 Kč),"Dvacátého osmého pluku 119/33, Praha 10 11000",50.0718924,14.467494,10,https://www.damejidlo.cz/havana-w
212,hercovka-bar-grill,-1.0,0,49 Kč (zdarma od 700 Kč),"Trojská 157/36, Praha 18000",50.1221085,14.4506291,18000,https://www.damejidlo.cz/hercovka-bar-grill
213,himalaya-indian-restaurant,84.0,5,29 Kč (zdarma od 600 Kč),"Soukenická 1084/2, Praha 1 11000",50.0907068,14.4281256,1,https://www.damejidlo.cz/himalaya-indian-restaurant
214,hloupy-honza,42.0,7,29 Kč (zdarma od 700 Kč),"Školská 12, Praha 1 11000",50.0782751,14.4243411,1,https://www.damejidlo.cz/hloupy-honza
215,hoja-taiwanese-bistro,,,,,,,,https://www.damejidlo.cz/hoja-taiwanese-bistro
216,holesovicka-kozlovna,84.0,25,29 Kč (zdarma od 700 Kč),"Dělnická 28, Praha 7 17000",50.1029397,14.4486996,7,https://www.damejidlo.cz/holesovicka-kozlovna
217,hombre-del-mundo2,84.0,10,zdarma až 40 Kč,"Nádražní 21/29, Praha 5 15000",50.0702905,14.4049211,5,https://www.damejidlo.cz/hombre-del-mundo2
218,home-office-nove-butovice,-1.0,0,49 Kč (zdarma od 700 Kč),"Radlická 117, Praha 5 15800",50.0476058,14.3537456,5,https://www.damejidlo.cz/home-office-nove-butovice
219,home-office-bistro-harfa,-1.0,0,29 Kč (zdarma od 700 Kč),"Českomoravská 2420/15A, Praha 9 19093",50.10382449999999,14.4912498,9,https://www.damejidlo.cz/home-office-bistro-harfa
220,home-office-bistro,-1.0,0,29 Kč (zdarma od 700 Kč),"Radlická 3185/1C, Praha 5 15000",50.071596,14.4011331,5,https://www.damejidlo.cz/home-office-bistro
221,hooters-havelska,-1.0,0,29 Kč (zdarma od 1 000 Kč),"Havelská 25, Praha 1 11000",50.0855291,14.421814,1,https://www.damejidlo.cz/hooters-havelska
222,hooters-vodickova,73.0,9,49 Kč (zdarma od 600 Kč),"Vodičkova 5, Praha 2 12000",50.0787,14.4214248,2,https://www.damejidlo.cz/hooters-vodickova
223,hoppallaaa,-1.0,0,29 Kč,"Příčná 1632/9, Praha 1 11000",50.0785632,14.4227153,1,https://www.damejidlo.cz/hoppallaaa
224,hospoda-u-stareho-lva,90.0,20,29 Kč (zdarma od 700 Kč),"Lidická 799/13, Praha 5 15000",50.0724274,14.4086505,5,https://www.damejidlo.cz/hospoda-u-stareho-lva
225,hospudka-regina,92.0,11,49 Kč (zdarma od 700 Kč),"Konojedská 38, Praha - Strašnice 10000",50.0639509,14.5105763,,https://www.damejidlo.cz/hospudka-regina
226,hospudka-u-ferdy,,,,,,,,https://www.damejidlo.cz/hospudka-u-ferdy
227,hospudka-v-parku,87.0,34,49 Kč,"Freyova 1/12, Praha 19000",50.10768059999999,14.5033627,19000,https://www.damejidlo.cz/hospudka-v-parku
228,hospudka-v-parku2,85.0,98,29 Kč až 49 Kč,"Freyova 1/12, Praha 19000",50.10768059999999,14.5033627,19000,https://www.damejidlo.cz/hospudka-v-parku2
229,na-stare-sokolovne,87.0,55,zdarma,"Podolská 90/5, Praha 4 14000",50.0540537,14.4184483,4,https://www.damejidlo.cz/na-stare-sokolovne
230,na-stare-sokolovne-dj,88.0,7,29 Kč (zdarma od 700 Kč),"Podolská 90/5, Praha 4 14000",50.0540537,14.4184483,4,https://www.damejidlo.cz/na-stare-sokolovne-dj
231,hostinec-na-stare-vozovne,,,,,,,,https://www.damejidlo.cz/hostinec-na-stare-vozovne
232,hostinec-ve-mlyne,90.0,17,,"Jalodvorská 841/16, Praha 14200",50.0159014,14.4573291,14200,https://www.damejidlo.cz/hostinec-ve-mlyne
233,rest-u-carodejky,80.0,12,49 Kč (zdarma od 600 Kč),"Kodaňská 55, Praha 10 10000",50.0765044,14.4928551,10,https://www.damejidlo.cz/rest-u-carodejky
234,hotel-baroko,76.0,5,29 Kč (zdarma od 700 Kč),"Tomsova 11/13, Praha 10 10800",50.085634,14.5131097,10,https://www.damejidlo.cz/hotel-baroko
235,hotel-svornost,82.0,23,zdarma až 100 Kč,"Novozámecká 284, Praha 9 19000",50.08866200000001,14.571443,9,https://www.damejidlo.cz/hotel-svornost
236,hotovkarna-cz,89.0,64,zdarma (zdarma od 1 000 Kč),"Pod Paťankou 1A, Praha 6 16000",50.1129523,14.3928628,6,https://www.damejidlo.cz/hotovkarna-cz
237,hurry-curry-indian-fast-food,91.0,44,49 Kč,"Mikovcova 475/7, Praha 2 12000",50.0766786,14.4312877,2,https://www.damejidlo.cz/hurry-curry-indian-fast-food
238,checkout-food,-1.0,0,29 Kč (zdarma od 500 Kč),"Francouzská 76, Praha 10 10000",50.0718899,14.4462616,10,https://www.damejidlo.cz/checkout-food
239,ku-bar-lounge-i,-1.0,0,29 Kč (zdarma od 700 Kč),"Rytířská 13, Praha 1 11000",50.0843347,14.4213437,1,https://www.damejidlo.cz/ku-bar-lounge-i
240,cheetah-falafel-wrap,88.0,27,50 Kč až 60 Kč,"U Malé řeky 623, Praha 5 15000",49.9745056,14.3965044,5,https://www.damejidlo.cz/cheetah-falafel-wrap
241,mr-kebab,86.0,151,29 Kč (zdarma od 700 Kč),"Vinohradská 228, Praha 10 10000",50.0769404,14.4875532,10,https://www.damejidlo.cz/mr-kebab
242,chicken-records-praha-modrany-a-jizni-mesto,62.0,14,zdarma,"Hrusická 2617/3A, Praha 4 14000",50.0486467,14.4846588,4,https://www.damejidlo.cz/chicken-records-praha-modrany-a-jizni-mesto
243,chickin,87.0,26,29 Kč (zdarma od 700 Kč),"Dejvická 188/6, Praha 16000",50.0980932,14.4038802,16000,https://www.damejidlo.cz/chickin
244,chlebicky-kobylisy,,,,,,,,https://www.damejidlo.cz/chlebicky-kobylisy
245,chop-d-praha,90.0,90,29 Kč (zdarma od 700 Kč),"Na Florenci 15, Praha 1 11000",50.0887553,14.435333,1,https://www.damejidlo.cz/chop-d-praha
246,chopstix-restaurant,-1.0,0,29 Kč (zdarma od 700 Kč),"Jungmannova 736/10, Praha 11000",50.0803333,14.4225257,11000,https://www.damejidlo.cz/chopstix-restaurant
247,chutnej-fast-food,88.0,46,79 Kč,"Voroněžská 19, Praha 10100",50.0717374,14.445625,10100,https://www.damejidlo.cz/chutnej-fast-food
248,chutnoff-bakery-and-bistro,98.0,27,99 Kč,"Zelená 4/744, Praha 6 16000",50.1072606,14.3953755,6,https://www.damejidlo.cz/chutnoff-bakery-and-bistro
249,chutnoff-centrum,85.0,8,29 Kč (zdarma od 700 Kč),"Legerova 76, Praha 2 12000",50.076756,14.4306242,2,https://www.damejidlo.cz/chutnoff-centrum
250,i-vietnam,81.0,370,29 Kč,"Kongresová 1, Praha 4 14000",50.0627877,14.432054,4,https://www.damejidlo.cz/i-vietnam
251,i-vietnamii,87.0,384,zdarma až 95 Kč,"Jankovcova 18, Praha 7 17000",50.1105294,14.4507429,7,https://www.damejidlo.cz/i-vietnamii
252,ice-n-go,-1.0,0,29 Kč (zdarma od 700 Kč),"Bránická 61, Praha 4 Braník 14700",50.0359439,14.4136929,4,https://www.damejidlo.cz/ice-n-go
253,incruenti-restaurant,,,,,,,,https://www.damejidlo.cz/incruenti-restaurant
254,indian-aroma,88.0,10,69 Kč,"Křižíkova 176/27, Praha 8 18000",50.0910429,14.4434461,8,https://www.damejidlo.cz/indian-aroma
255,indian-by-nature,91.0,14,29 Kč (zdarma od 700 Kč),"Pernerova 478/1, Praha 8 18600",50.0893256,14.4450233,8,https://www.damejidlo.cz/indian-by-nature
256,indian-by-nature-dejvice,89.0,51,29 Kč (zdarma od 700 Kč),"Mařákova 290/7, Praha 6 16000",50.09849819999999,14.4026659,6,https://www.damejidlo.cz/indian-by-nature-dejvice
257,indian-happy-tandoor,68.0,5,59 Kč,"Zenklova 62/232, Praha 8 18000",50.1207828,14.4576609,8,https://www.damejidlo.cz/indian-happy-tandoor
258,indian-jewel,-1.0,0,19 Kč (zdarma od 800 Kč),"Týn 6, Praha 1 11000",50.0880143,14.4232629,1,https://www.damejidlo.cz/indian-jewel
259,indian-jewel-praha,87.0,13,19 Kč (zdarma od 450 Kč),"Týn 6, Praha 1 11000",50.0880143,14.4232629,1,https://www.damejidlo.cz/indian-jewel-praha
260,indian-restaurant-rasoi,-1.0,0,29 Kč (zdarma od 600 Kč),"Dlouhá 741/13, Praha 1 11000",50.0898607,14.4233418,1,https://www.damejidlo.cz/indian-restaurant-rasoi
261,chanchala-indicka-restaurace,-1.0,0,0 Kč,"Palladium Nám. Republiky 1 A, Praha 1 11000",50.08944100000001,14.42948,1,https://www.damejidlo.cz/chanchala-indicka-restaurace
262,indicka-a-nepalska-restaurace-lumbini,88.0,24,39 Kč (zdarma od 700 Kč),"Koněvova 52/25, Praha 3 13000",50.0879189,14.4567097,3,https://www.damejidlo.cz/indicka-a-nepalska-restaurace-lumbini
263,indicka-restaurace-everest,92.0,144,29 Kč (zdarma od 700 Kč),"Anny letenské 5, Praha 2 12000",50.0773213,14.4373086,2,https://www.damejidlo.cz/indicka-restaurace-everest
264,indicka-restaurace-kathmandu,86.0,9,29 Kč (zdarma od 700 Kč),"Vojtěšská 241/9, Praha 11000",50.078357,14.4147707,11000,https://www.damejidlo.cz/indicka-restaurace-kathmandu
265,sai-praha-6,85.0,8,49 Kč (zdarma od 700 Kč),"Liborova 14, Praha 6 16900",50.0837104,14.3763913,6,https://www.damejidlo.cz/sai-praha-6
266,indicka-restaurace-taaj-palace,91.0,24,29 Kč (zdarma od 600 Kč),"Nádražní 9b, Praha 5 15000",50.0666731,14.4068879,5,https://www.damejidlo.cz/indicka-restaurace-taaj-palace
267,internetove-vinarstvi,-1.0,0,zdarma až 49 Kč,"Do Kopečka 37, Praha 10 10300",50.0001552,14.6158561,10,https://www.damejidlo.cz/internetove-vinarstvi
268,istanbul-kebab-praha-5,84.0,5,29 Kč (zdarma od 700 Kč),"Štefánikova 296/37, Praha 5 15000",50.0757969,14.4035149,5,https://www.damejidlo.cz/istanbul-kebab-praha-5
269,jam-s-soul,-1.0,0,29 Kč (zdarma od 500 Kč),"Soběslavská 23, Praha 3 13000",50.0774182,14.4744125,3,https://www.damejidlo.cz/jam-s-soul
270,japonsko-korejska-restaurace-u-kavalira,-1.0,0,59 Kč (zdarma od 600 Kč),"Jaselská 10, Praha 6 16000",50.0992667,14.4035482,6,https://www.damejidlo.cz/japonsko-korejska-restaurace-u-kavalira
271,jewel,-1.0,0,29 Kč (zdarma od 500 Kč),"Rytířská 3, Praha 1 11000",50.084077,14.4207103,1,https://www.damejidlo.cz/jewel
272,jia-yao-shifu,53.0,12,29 Kč (zdarma od 700 Kč),"Vladivostocká 1460/10, Praha 10 10000",50.0688048,14.4797083,10,https://www.damejidlo.cz/jia-yao-shifu
273,jidelna-holesovice,-1.0,0,zdarma až 39 Kč,"Jankovcova 63, Praha 7 17000",50.1104818,14.4481348,7,https://www.damejidlo.cz/jidelna-holesovice
274,jidelna-kucharek-bez-domova,95.0,24,49 Kč až 79 Kč,"Brožíkova 281/6, Praha 5 15000",50.0715005,14.3887157,5,https://www.damejidlo.cz/jidelna-kucharek-bez-domova
275,jidelna-liben,,,,,,,,https://www.damejidlo.cz/jidelna-liben
276,jidelna-lighthouse,,,,,,,,https://www.damejidlo.cz/jidelna-lighthouse
277,jidelna-u-atelieru,,,,,,,,https://www.damejidlo.cz/jidelna-u-atelieru
278,jidlovnoci-cz,86.0,168,29 Kč,"Na Bělidle 38, Praha 5 15000",50.07172389999999,14.4051522,5,https://www.damejidlo.cz/jidlovnoci-cz
279,jin-man-tang,94.0,23,49 Kč,"Náchodská 789/27, Praha 9 19300",50.1126795,14.594958,9,https://www.damejidlo.cz/jin-man-tang
280,jina-krajina,77.0,7,59 Kč (zdarma od 1 000 Kč),"Řeznická 1890/4, Praha 1 11000",50.0780943,14.4222365,1,https://www.damejidlo.cz/jina-krajina
281,johnny-pizza,86.0,12,29 Kč (zdarma od 700 Kč),"Koubkova 685/16, Praha 2 12000",50.072015,14.4332066,2,https://www.damejidlo.cz/johnny-pizza
282,joshi,98.0,63,zdarma,"Petržílkova 2835/7, Praha 5 15800",50.0511481,14.3483123,5,https://www.damejidlo.cz/joshi
283,joy-burger,-1.0,0,29 Kč,"Celetná 38, Praha 1 11000",50.0872335,14.4264776,1,https://www.damejidlo.cz/joy-burger
284,kafarna-podoli2,-1.0,0,29 Kč (zdarma od 700 Kč),"Na Dolinách 47, Praha 4 14000",50.0570682,14.4302357,4,https://www.damejidlo.cz/kafarna-podoli2
285,kafarna-vinohrady2,-1.0,0,29 Kč (zdarma od 1 000 Kč),"Bezručovy sady 1, Praha 2 12000",50.0731069,14.448408,2,https://www.damejidlo.cz/kafarna-vinohrady2
286,kafe-79-tradicni-vietnamska-restaurace,-1.0,0,29 Kč (zdarma od 700 Kč),"Žitná 4, Praha 2 12000",50.0772007,14.4219725,2,https://www.damejidlo.cz/kafe-79-tradicni-vietnamska-restaurace
287,kaiser-franz,100.0,10,20 Kč,"náměstí Jiřího z Poděbrad 6, Praha 13000",50.0784956,14.4488151,13000,https://www.damejidlo.cz/kaiser-franz
288,kaiser-franz-dj,-1.0,0,29 Kč (zdarma od 700 Kč),"náměstí Jiřího z Poděbrad 6, Praha 13000",50.0784956,14.4488151,13000,https://www.damejidlo.cz/kaiser-franz-dj
289,kantyna-staropramen,,,,,,,,https://www.damejidlo.cz/kantyna-staropramen
290,kare-cafe,-1.0,0,29 Kč (zdarma od 500 Kč),"Jungmanova 34, Praha 1 11000",50.082659,14.4222297,1,https://www.damejidlo.cz/kare-cafe
291,karlin-food,-1.0,0,29 Kč,"Sokolovská 120/62, Praha 8 18600",50.0926355,14.4457002,8,https://www.damejidlo.cz/karlin-food
292,kavala,-1.0,0,29 Kč (zdarma od 1 000 Kč),"Charlese de Gaulla 629/5, Praha 16000",50.1025185,14.4002997,16000,https://www.damejidlo.cz/kavala
293,kavarna-cafe-adastra-praha,-1.0,0,29 Kč (zdarma od 700 Kč),"Podskalská 8, Praha 2 12000",50.0690649,14.4155787,2,https://www.damejidlo.cz/kavarna-cafe-adastra-praha
294,kavarna-globe,-1.0,0,29 Kč (zdarma od 600 Kč),"Pštrossova 1925/6, Praha 11000",50.0780708,14.4164218,11000,https://www.damejidlo.cz/kavarna-globe
295,mariana-miuller,-1.0,0,49 Kč (zdarma od 700 Kč),"Zázvorkova 23, Praha - Stodůlky 15500",50.04532409999999,14.3320826,,https://www.damejidlo.cz/mariana-miuller
296,kavarna-mlsounek,-1.0,0,,"Libušská 11/216, Praha 4 14200",50.0099757,14.4611779,4,https://www.damejidlo.cz/kavarna-mlsounek
297,kavarna-cukrarna-angelo,-1.0,0,29 Kč (zdarma od 700 Kč),"Drahobejlova 40, Praha 9 19000",50.10579509999999,14.4902938,9,https://www.damejidlo.cz/kavarna-cukrarna-angelo
298,kebab-antalya,86.0,134,49 Kč,"Bělohorská 240/81, Praha 6 16000",50.0838274,14.3692828,6,https://www.damejidlo.cz/kebab-antalya
299,atlas-montes,83.0,139,29 Kč,"Koněvova 69, Praha 3 13000",50.0892002,14.4618837,3,https://www.damejidlo.cz/atlas-montes
300,kebab-istanbul-cakovice,90.0,16,49 Kč,"Kostelecká 822/75, Praha 9 19000",50.1504211,14.505412,9,https://www.damejidlo.cz/kebab-istanbul-cakovice
301,kebab-house-copy,87.0,84,29 Kč (zdarma od 700 Kč),"Bělehradská 288/69, Praha 2 12000",50.0730672,14.4330042,2,https://www.damejidlo.cz/kebab-house-copy
302,kebab-house-modrany,100.0,5,,"Rilská 3172/3, Praha 12 14300",50.00884019999999,14.4274635,12,https://www.damejidlo.cz/kebab-house-modrany
303,kebab-pizza-bar,-1.0,0,29 Kč (zdarma od 700 Kč),"Ve Smečkách 16, Praha 1 11000",50.0784569,14.4270784,1,https://www.damejidlo.cz/kebab-pizza-bar
304,kfc-p6,72.0,10,99 Kč,"Etiopská 686/3, Praha 6 16000",50.0968432,14.3545299,6,https://www.damejidlo.cz/kfc-p6
305,kfc-andel,92.0,15,99 Kč,"Plzeňská 2, Praha 5 15000",50.0720307,14.4040814,5,https://www.damejidlo.cz/kfc-andel
306,kfc-praha14,88.0,7,99 Kč,"Chlumecká 765/6, Praha 9 19800",50.108793,14.5832921,9,https://www.damejidlo.cz/kfc-praha14
307,kfc-dejvice,72.0,10,99 Kč,"Vítězné nám. 1, Praha 6 16000",50.0998277,14.3962625,6,https://www.damejidlo.cz/kfc-dejvice
308,kfc-flora,88.0,10,109 Kč,"Vinohradská 151, Praha 3 13000",50.0782613,14.4613023,3,https://www.damejidlo.cz/kfc-flora
309,kfc-narodni,88.0,25,109 Kč,"Na Poříčí 1894/46, Praha 1 11000",50.0902331,14.4364996,1,https://www.damejidlo.cz/kfc-narodni
310,kfc-harfa,85.0,11,99 Kč,"Českomoravská 2420/5a, Praha 9 19000",50.1033485,14.4907198,9,https://www.damejidlo.cz/kfc-harfa
311,kfc-hostivar,-1.0,0,99 Kč,"Turkova 2317/5, Praha 11 14900",50.0367827,14.4933031,11,https://www.damejidlo.cz/kfc-hostivar
312,kfc-pankrac,93.0,13,99 Kč,"Na Pankráci 1721/86, Praha 4 14000",50.0511586,14.4391031,4,https://www.damejidlo.cz/kfc-pankrac
313,klub-cestovatelu-praha-poledni-menu,,,,,,,,https://www.damejidlo.cz/klub-cestovatelu-praha-poledni-menu
314,klub-cestovatelu-praha,100.0,5,29 Kč (zdarma od 600 Kč),"Masarykovo nábřeží 22, Praha 1 11000",50.0786644,14.4142472,1,https://www.damejidlo.cz/klub-cestovatelu-praha
315,klub-varta,92.0,27,49 Kč,"Boloňská 310, Praha 15 10900",50.0471526,14.5601707,15,https://www.damejidlo.cz/klub-varta
316,kobe-sausages-prague,-1.0,0,29 Kč (zdarma od 700 Kč),"Lazarská 6, Praha 12000",50.079024,14.4208202,12000,https://www.damejidlo.cz/kobe-sausages-prague
317,kogo-polpo,68.0,5,29 Kč (zdarma od 700 Kč),"Vladislavova 21, Praha 1 11000",50.08112500000001,14.4211552,1,https://www.damejidlo.cz/kogo-polpo
318,kolacove-kralovstvi,-1.0,0,29 Kč (zdarma od 700 Kč),"Táborská 583/28, Praha 14000",50.0617969,14.4377271,14000,https://www.damejidlo.cz/kolacove-kralovstvi
319,koley-burger-pizza,,,,,,,,https://www.damejidlo.cz/koley-burger-pizza
320,kolkovna-argentinska,86.0,37,29 Kč (zdarma od 1 000 Kč),"U garáží 1, Praha 17000",50.101254,14.4448528,17000,https://www.damejidlo.cz/kolkovna-argentinska
